	rank	website	category	change	avg_visit_duration	pages/visit	bounce_rate	subcategory
216	17	lanacion.com.ar	News and Media	=	00:14:03	4.26	0.5722	Newspapers
217	18	corriere.it	News and Media	=	00:07:27	3.53	0.485	Newspapers
218	19	youm7.com	News and Media	1	00:03:38	2.72	0.49479999999999996	Newspapers
219	20	kompas.com	News and Media	-1	00:05:16	2.31	0.5752	Newspapers
220	21	nbcnews.com	News and Media	=	00:06:26	3.12	0.5964	Newspapers
221	22	welt.de	News and Media	=	00:03:28	2.43	0.5418999999999999	Newspapers
222	23	cbsnews.com	News and Media	3	00:01:55	2.47	0.6464	Newspapers
223	24	folha.uol.com.br	News and Media	5	00:05:11	2.82	0.5766	Newspapers
224	25	latimes.com	News and Media	8	00:03:04	2.04	0.7099	Newspapers
225	26	vg.no	News and Media	-1	00:14:24	4.11	0.3876	Newspapers
226	27	ltn.com.tw	News and Media	-3	00:02:29	2.75	0.4722	Newspapers
227	28	20minutes.fr	News and Media	3	00:05:14	3.22	0.5747	Newspapers
228	29	kp.ru	News and Media	-1	00:02:21	3.02	0.5053	Newspapers
229	30	sfgate.com	News and Media	5	00:04:34	3.6	0.6441	Newspapers
230	31	nydailynews.com	News and Media	7	00:04:38	2.91	0.6299	Newspapers
231	32	aftonbladet.se	News and Media	2	00:04:45	3.23	0.429	Newspapers
232	33	index.hu	News and Media	-3	00:06:03	3.83	0.3259	Newspapers
233	34	telegraaf.nl	News and Media	3	00:11:16	4.25	0.3063	Newspapers
234	35	gazeta.ru	News and Media	-8	00:07:24	3.49	0.5546	Newspapers
235	36	indianexpress.com	News and Media	-4	00:01:57	1.99	0.6764	Newspapers
236	37	thehill.com	News and Media	-1	00:03:40	1.95	0.6831999999999999	Newspapers
237	38	thairath.co.th	News and Media	5	00:02:53	2.35	0.6079	Newspapers
238	39	yomiuri.co.jp	News and Media	new	00:02:39	2.97	0.39020000000000005	Newspapers
239	40	sankei.com	News and Media	5	00:02:47	3.1	0.46240000000000003	Newspapers
240	41	news18.com	News and Media	new	00:02:56	2.33	0.6056	Newspapers
241	42	wyborcza.pl	News and Media	2	00:03:17	3.33	0.3896	Newspapers
242	43	smh.com.au	News and Media	-1	00:10:28	4.6	0.5649000000000001	Newspapers
243	44	zeit.de	News and Media	5	00:03:54	2.55	0.55	Newspapers
244	45	iltalehti.fi	News and Media	-4	00:06:05	3.9	0.3097	Newspapers
245	46	kknews.cc	News and Media	new	00:02:23	2.03	0.6319	Newspapers
246	47	ekstrabladet.dk	News and Media	-8	00:06:35	4.43	0.2493	Newspapers
247	48	gazetevatan.com	News and Media	2	00:06:02	9.24	0.433	Newspapers
248	49	firstpost.com	News and Media	-9	00:04:08	2.8	0.5869	Newspapers
249	50	estadao.com.br	News and Media	1	00:06:52	3.46	0.5852	Newspapers
250	1	cnet.com	News and Media	=	00:01:56	2.73	0.5085999999999999	Technology News
251	2	zol.com.cn	News and Media	=	00:03:01	4.55	0.4545	Technology News
252	3	gsmarena.com	News and Media	1	00:03:42	4.23	0.29350000000000004	Technology News
253	4	ccm.net	News and Media	-1	00:02:36	2.2	0.5681	Technology News
254	5	pconline.com.cn	News and Media	=	00:01:15	1.96	0.6518999999999999	Technology News
255	6	gizmodo.com	News and Media	=	00:02:14	2.05	0.6178	Technology News
256	7	4pda.ru	News and Media	=	00:06:09	4.23	0.4075	Technology News
257	8	commentcamarche.net	News and Media	=	00:03:39	2.43	0.5722999999999999	Technology News
258	9	engadget.com	News and Media	5	00:02:18	2.22	0.6575	Technology News
259	10	lifehacker.com	News and Media	-1	00:01:47	1.91	0.6076	Technology News
260	11	techradar.com	News and Media	2	00:01:24	1.85	0.6640999999999999	Technology News
261	12	computerbild.de	News and Media	=	00:03:21	6.59	0.4732	Technology News
262	13	itmedia.co.jp	News and Media	2	00:02:11	2.73	0.5219	Technology News
263	14	1.com	News and Media	new	00:03:48	4.36	0.3431	Technology News
264	15	techtudo.com.br	News and Media	-4	00:01:28	1.58	0.6951999999999999	Technology News
265	16	heise.de	News and Media	=	00:03:25	4.17	0.4839	Technology News
266	17	01net.com	News and Media	2	00:08:17	3.9	0.4844	Technology News
267	18	tech.mail.ru	News and Media	-1	00:01:57	3.44	0.6295000000000001	Technology News
268	19	arstechnica.com	News and Media	3	00:01:55	1.9	0.6465000000000001	Technology News
269	20	techcrunch.com	News and Media	4	00:01:53	1.75	0.7303000000000001	Technology News
270	21	wired.com	News and Media	-3	00:04:43	2.16	0.7479	Technology News
271	22	tweakers.net	News and Media	1	00:05:30	4.69	0.33770000000000006	Technology News
272	23	digitaltrends.com	News and Media	-2	00:01:17	2.47	0.6244	Technology News
273	24	dpreview.com	News and Media	-4	00:04:06	4.47	0.4814	Technology News
274	25	tecmundo.com.br	News and Media	1	00:03:09	2.03	0.541	Technology News
275	26	trashbox.ru	News and Media	-1	00:02:23	2.21	0.649	Technology News
276	27	clubic.com	News and Media	=	00:02:27	2.44	0.498	Technology News
277	28	chip.com.tr	News and Media	=	00:07:43	16.42	0.5032	Technology News
278	29	trustedreviews.com	News and Media	3	00:01:09	1.61	0.6954	Technology News
279	30	pcworld.com	News and Media	-1	00:01:12	1.86	0.7116	Technology News
280	31	xataka.com	News and Media	7	00:01:48	1.78	0.6544	Technology News
281	32	sammobile.com	News and Media	1	00:04:55	5.73	0.3686	Technology News
282	33	zdnet.com	News and Media	18	00:01:15	2.01	0.6725	Technology News
283	34	news.mydrivers.com	News and Media	-3	00:04:11	3.55	0.5399	Technology News
284	35	cnmo.com	News and Media	4	00:01:24	3.08	0.5472	Technology News
285	36	genk.vn	News and Media	14	00:03:37	2.96	0.4339	Technology News
286	37	tech.ifeng.com	News and Media	29	00:01:10	2.14	0.6993	Technology News
287	38	bgr.com	News and Media	-1	00:00:54	1.81	0.6304	Technology News
288	39	news.ycombinator.com	News and Media	2	00:05:02	2.55	0.4728	Technology News
289	40	entrepreneur.com	News and Media	=	00:01:41	2.0	0.6858	Technology News
290	41	ixbt.com	News and Media	11	00:02:53	2.13	0.569	Technology News
291	42	geektimes.ru	News and Media	1	00:02:41	2.21	0.5408	Technology News
292	43	tech.sina.com.cn	News and Media	10	00:01:42	2.23	0.6898000000000001	Technology News
293	44	cool3c.com	News and Media	2	00:03:05	2.48	0.47340000000000004	Technology News
294	45	7230.com	News and Media	-11	00:01:33	2.08	0.5293	Technology News
295	46	computerbase.de	News and Media	1	00:02:50	2.32	0.5888	Technology News
296	47	dji.com	News and Media	-2	00:03:39	3.63	0.3943	Technology News
297	48	pcwelt.de	News and Media	11	00:02:16	2.2	0.6043999999999999	Technology News
298	49	teclast.com	News and Media	7	00:02:18	1.7	0.7061	Technology News
299	50	windowscentral.com	News and Media	13	00:01:17	1.65	0.6062	Technology News
300	1	yahoo.com	News and Media	=	00:06:11	6.19	0.4267	
301	2	qq.com	News and Media	=	00:04:50	4.55	0.48310000000000003	
302	3	yahoo.co.jp	News and Media	=	00:09:09	8.25	0.292	
303	4	naver.com	News and Media	=	00:14:15	12.22	0.1764	
304	5	msn.com	News and Media	=	00:08:42	5.88	0.48100000000000004	
305	6	accuweather.com	News and Media	=	00:01:34	2.69	0.4891	Weather
306	7	iqiyi.com	News and Media	=	00:05:32	3.2	0.4708	
307	8	sohu.com	News and Media	=	00:03:31	3.03	0.5212	
308	9	globo.com	News and Media	=	00:08:53	3.97	0.4661	
309	10	uol.com.br	News and Media	=	00:08:47	5.34	0.48450000000000004	
